Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
51700030100,51,700,030100,71.4,2.013,3
51700030300,51,700,030300,72.4,1.5154,1
51700030400,51,700,030400,71.4,2.1415,3
51700030500,51,700,030500,69.5,1.8715,3
51700030600,51,700,030600,71.7,1.2958,2
51700030800,51,700,030800,69.3,2.5378,3
51700030900,51,700,030900,75.7,2.9761,3
51700031100,51,700,031100,77,2.2137,3
51700031200,51,700,031200,71.7,3.1418,3
51700031300,51,700,031300,74.2,1.3618,3
51700031400,51,700,031400,74,1.4577,3
51700031500,51,700,031500,79,1.5472,3
51700031601,51,700,031601,78,1.5217,3
51700031602,51,700,031602,76.5,1.5853,3
51700031702,51,700,031702,80.9,1.8468,3
51700031800,51,700,031800,83,1.2304,3
51700031901,51,700,031901,78.5,1.7026,3
51700031902,51,700,031902,76.8,1.4258,3
51700032001,51,700,032001,82.2,1.6234,3
51700032002,51,700,032002,80.2,2.1643,3
51700032005,51,700,032005,80.2,2.641,3
51700032007,51,700,032007,75.4,1.4829,3
51700032113,51,700,032113,76.8,0.8711,2
51700032114,51,700,032114,82.7,2.6249,3
51700032117,51,700,032117,74.4,1.5249,1
51700032123,51,700,032123,74.1,2.718,3
51700032126,51,700,032126,68.9,1.6393,3
51700032127,51,700,032127,77.5,2.1048,3
51700032128,51,700,032128,74.5,2.1049,3
51700032129,51,700,032129,78.1,2.4588,3
51700032130,51,700,032130,80.6,2.629,3
51700032132,51,700,032132,77.3,1.351,3
51700032211,51,700,032211,81.3,1.6751,3
51700032212,51,700,032212,76.6,2.3427,1
51700032224,51,700,032224,78.2,1.3773,3
51700032225,51,700,032225,72.5,2.3798,2
51700032226,51,700,032226,75.3,2.1645,2
51700032400,51,700,032400,78,2.5848,3
