"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
51001090100,51,001,090100,74.5,1.5145,3
51001090200,51,001,090200,77.5,1.1577,3
51001090300,51,001,090300,76.1,3.4158,3
51001090400,51,001,090400,77.7,1.201,3
51001090500,51,001,090500,73.1,2.2543,3
51001090600,51,001,090600,77,1.6637,3
51001090700,51,001,090700,76.4,2.3883,3
51001090800,51,001,090800,82.8,3.1963,3
51003010100,51,003,010100,84.3,1.7333,3
51003010201,51,003,010201,77.3,3.2954,1
51003010202,51,003,010202,80.9,1.7264,2
51003010300,51,003,010300,81.9,1.5249,3
51003010401,51,003,010401,80.6,1.286,2
51003010402,51,003,010402,83.7,2.3694,3
51003010500,51,003,010500,82.8,1.8134,3
51003010601,51,003,010601,79.7,0.9182,2
51003010602,51,003,010602,80.2,0.9596,2
51003010700,51,003,010700,76.7,1.4093,3
51003010800,51,003,010800,82.6,1.4965,3
51003010901,51,003,010901,78.6,1.2605,2
51003011000,51,003,011000,86.3,2.2748,3
51003011100,51,003,011100,80.7,1.7141,3
51003011201,51,003,011201,78.5,1.0813,3
51003011202,51,003,011202,87.1,2.7303,3
51003011301,51,003,011301,84.1,3.1424,3
51003011302,51,003,011302,75.5,1.91,3
51003011303,51,003,011303,80,1.7866,2
51003011400,51,003,011400,79,1.3303,3
51005070100,51,005,070100,69.7,1.3343,3
51005080100,51,005,080100,81.5,1.5309,3
51005080201,51,005,080201,78.1,1.5773,3
51005080202,51,005,080202,75.6,2.9156,3
51005080301,51,005,080301,79,2.3176,3
51005080302,51,005,080302,76.8,3.22,3
51007930100,51,007,930100,75.3,1.2122,3
51007930200,51,007,930200,77.2,1.4801,3
51009010100,51,009,010100,77.1,1.3891,3
51009010200,51,009,010200,76.2,0.6805,2
51009010300,51,009,010300,79.6,1.5425,3
51009010401,51,009,010401,78.4,2.2207,3
51009010402,51,009,010402,79.1,2.422,3
51009010503,51,009,010503,71.8,1.8415,3
51009010504,51,009,010504,74.7,1.0001,2
51009010600,51,009,010600,76.4,1.9483,1
51011040100,51,011,040100,77,1.0829,3
51011040200,51,011,040200,77.2,1.8338,1
51011040300,51,011,040300,77.4,1.2849,3
51013100100,51,013,100100,82.5,1.3342,3
51013100200,51,013,100200,84.8,1.612,3
51013100300,51,013,100300,86.5,2.1874,3
51013100400,51,013,100400,86.4,1.9305,3
51013100500,51,013,100500,84.4,1.6612,3
51013100600,51,013,100600,79,1.5326,3
51013100700,51,013,100700,82.7,1.7523,3
51013100800,51,013,100800,81.5,1.1456,2
51013100900,51,013,100900,85.6,3.7733,3
51013101000,51,013,101000,79.9,1.792,3
51013101100,51,013,101100,84,1.6893,3
51013101200,51,013,101200,82.7,1.9635,3
51013101300,51,013,101300,81.1,1.2125,2
51013101402,51,013,101402,81.5,2.0914,3
51013101403,51,013,101403,80.7,0.9668,2
51013101404,51,013,101404,83.3,3.5362,3
51013101500,51,013,101500,88,3.2678,3
51013101702,51,013,101702,80.9,2.0657,2
51013101703,51,013,101703,80.9,3.6521,3
51013101802,51,013,101802,80.9,3.2004,2
51013101803,51,013,101803,79,3.6191,3
51013101900,51,013,101900,80.2,1.4486,3
51013102001,51,013,102001,78.4,1.7507,3
51013102003,51,013,102003,79.6,2.0665,3
51013102100,51,013,102100,84.9,2.5456,3
51013102200,51,013,102200,77,2.2018,2
51013102301,51,013,102301,81.7,2.5333,2
51013102302,51,013,102302,82.5,3.806,3
51013102400,51,013,102400,81.8,1.8094,2
51013102500,51,013,102500,80.5,1.6146,2
51013102600,51,013,102600,81.7,2.7599,3
51013102701,51,013,102701,78.9,1.6826,2
51013102801,51,013,102801,84.3,3.2335,3
51013102802,51,013,102802,80.7,2.014,2
51013103000,51,013,103000,83.1,2.1834,3
51013103100,51,013,103100,79.7,1.6097,3
51013103200,51,013,103200,79.9,1.7603,3
51013103300,51,013,103300,80.5,1.8612,2
51013103402,51,013,103402,85.7,3.5244,3
51013103502,51,013,103502,79.9,1.4316,3
51013103601,51,013,103601,84.6,3.3619,3
51013103700,51,013,103700,87.1,2.1448,3
51013103800,51,013,103800,79,3.5426,3
51015070100,51,015,070100,79.3,1.5856,3
51015070200,51,015,070200,80.3,1.6249,3
51015070300,51,015,070300,80.9,1.4288,3
51015070400,51,015,070400,77.8,2.6023,3
51015070500,51,015,070500,76.3,0.9931,2
51015070600,51,015,070600,78.9,0.9671,3
51015070700,51,015,070700,77.6,1.301,1
51015070800,51,015,070800,77.2,1.2492,2
51015070900,51,015,070900,78.2,1.4915,3
51015071000,51,015,071000,79.6,1.361,3
51015071101,51,015,071101,75.4,1.0681,2
51015071102,51,015,071102,78.9,1.2853,3
51015071200,51,015,071200,77.6,0.9979,3
51017920100,51,017,920100,77.4,2.1975,3
51019030101,51,019,030101,80.6,1.1479,2
51019030103,51,019,030103,83,1.5339,3
51019030104,51,019,030104,77.6,1.2399,3
51019030201,51,019,030201,82.3,1.613,3
51019030202,51,019,030202,79.1,1.7238,3
51019030300,51,019,030300,77.7,1.7595,3
51019030401,51,019,030401,77.9,1.2747,3
51019030402,51,019,030402,75.7,0.9246,3
51019030501,51,019,030501,78.1,1.8658,3
51019030503,51,019,030503,80.5,1.848,3
51019030504,51,019,030504,74.8,3.4093,3
51019030601,51,019,030601,75.9,1.3429,3
51019030602,51,019,030602,77.9,1.3432,3
51019030603,51,019,030603,73,1.3001,3
51019030604,51,019,030604,74.6,1.2896,3
51019030605,51,019,030605,74,2.7018,3
51021040100,51,021,040100,77,1.7733,3
51021040200,51,021,040200,72.7,1.5859,3
51023040100,51,023,040100,76.4,1.3923,3
51023040200,51,023,040200,77.4,1.3385,3
51023040301,51,023,040301,75.7,1.939,3
51023040302,51,023,040302,80.3,0.9847,3
51023040401,51,023,040401,79.4,2.2224,3
51023040402,51,023,040402,78.8,1.3575,3
51023040501,51,023,040501,81.7,1.4441,3
51023040502,51,023,040502,74.5,2.0172,3
51025930100,51,025,930100,75.3,1.2074,2
51025930201,51,025,930201,75.8,1.7228,3
51025930203,51,025,930203,76.4,1.4699,3
51025930300,51,025,930300,76.3,1.3864,3
51027010100,51,027,010100,70.9,1.3613,3
51027010200,51,027,010200,74.6,1.7246,3
51027010300,51,027,010300,78.1,2.1207,3
51027010400,51,027,010400,74.3,1.6318,3
51027010500,51,027,010500,76.3,3.2004,3
51027010600,51,027,010600,73,1.2288,2
51027010700,51,027,010700,72.1,1.9018,1
51029930101,51,029,930101,77.2,1.4819,3
51029930102,51,029,930102,75.7,1.518,3
51029930201,51,029,930201,78.1,1.4796,1
51029930202,51,029,930202,80.3,2.0877,3
51031020101,51,031,020101,76.9,1.2279,3
51031020102,51,031,020102,77,1.2715,3
51031020200,51,031,020200,75.1,1.1331,3
51031020300,51,031,020300,79.9,1.4809,3
51031020401,51,031,020401,75.7,1.4196,2
51031020402,51,031,020402,79.6,1.8733,3
51031020403,51,031,020403,77.8,1.382,3
51031020500,51,031,020500,76.3,1.334,3
51031020700,51,031,020700,72.9,0.8245,2
51031020800,51,031,020800,74.6,2.2798,3
51031020900,51,031,020900,75.6,1.3369,3
51033030100,51,033,030100,74.7,1.3076,3
51033030201,51,033,030201,75.8,1.6214,3
51033030202,51,033,030202,75.9,2.1032,3
51033030300,51,033,030300,75.6,1.5746,3
51033030400,51,033,030400,73.5,1.9791,3
51033030500,51,033,030500,81.9,1.9211,1
51033030600,51,033,030600,76.4,1.2793,3
51035080100,51,035,080100,77.2,1.4612,3
51035080200,51,035,080200,74.1,1.0629,3
51035080300,51,035,080300,75.8,1.303,1
51035080400,51,035,080400,78.1,1.5063,1
51035080500,51,035,080500,78.2,1.4046,3
51035080601,51,035,080601,75.9,2.0279,3
51035080602,51,035,080602,75.5,1.3365,3
51036600100,51,036,600100,77.8,2.1651,3
51036600200,51,036,600200,78.2,1.5504,3
51036600300,51,036,600300,74.5,2.5474,3
51037930100,51,037,930100,78.5,1.6392,3
51037930200,51,037,930200,78,1.8227,3
51037930300,51,037,930300,75.4,1.2261,3
51041100106,51,041,100106,80.9,1.7859,3
51041100107,51,041,100107,72.6,3.1579,3
51041100205,51,041,100205,79.9,2.7523,3
51041100206,51,041,100206,77.7,2.0742,3
51041100208,51,041,100208,81.6,1.8887,3
51041100209,51,041,100209,80,2.7128,3
51041100210,51,041,100210,76.2,2.6244,3
51041100300,51,041,100300,75.2,1.9346,3
51041100403,51,041,100403,81.2,1.0898,2
51041100404,51,041,100404,69.7,1.7867,3
51041100405,51,041,100405,76.9,2.1674,3
51041100406,51,041,100406,73.8,2.5584,3
51041100407,51,041,100407,72.6,1.5937,3
51041100409,51,041,100409,84.4,3.6287,3
51041100505,51,041,100505,80.4,1.6669,3
51041100506,51,041,100506,79.6,1.7718,1
51041100507,51,041,100507,78,1.6162,3
51041100508,51,041,100508,75.2,1.5452,1
51041100509,51,041,100509,78.7,2.2447,3
51041100510,51,041,100510,78,1.872,3
51041100701,51,041,100701,76.8,2.086,1
51041100702,51,041,100702,74.2,2.3599,3
51041100703,51,041,100703,77.8,1.2813,3
51041100804,51,041,100804,82.3,2.0569,3
51041100805,51,041,100805,77.6,1.4531,3
51041100806,51,041,100806,74.4,1.18,2
51041100807,51,041,100807,77,1.9909,3
51041100812,51,041,100812,78,2.339,3
51041100814,51,041,100814,75.6,2.4688,3
51041100816,51,041,100816,79.7,2.6423,3
51041100817,51,041,100817,76.7,1.6483,3
51041100818,51,041,100818,85.5,3.4701,3
51041100819,51,041,100819,78.7,2.3103,3
51041100820,51,041,100820,77.6,1.7956,2
51041100821,51,041,100821,81.5,1.7242,3
51041100822,51,041,100822,78.6,1.7175,3
51041100823,51,041,100823,80.2,1.3661,3
51041100902,51,041,100902,80.7,1.4142,3
51041100907,51,041,100907,78.7,0.7889,2
51041100910,51,041,100910,78.5,2.0557,3
51041100912,51,041,100912,83.3,2.0913,3
51041100915,51,041,100915,80.9,1.7685,3
51041100919,51,041,100919,80.2,2.3635,3
51041100920,51,041,100920,77.5,2.2092,3
51041100921,51,041,100921,79.6,1.8601,3
51041100922,51,041,100922,78,1.2286,3
51041100923,51,041,100923,77.9,2.2094,3
51041100924,51,041,100924,80.4,1.8332,3
51041100927,51,041,100927,85.5,2.1143,3
51041100928,51,041,100928,80.4,0.9371,2
51041100929,51,041,100929,79.8,1.2373,3
51041100930,51,041,100930,82.5,3.1205,3
51041100931,51,041,100931,81.7,1.5048,3
51041100932,51,041,100932,82.7,2.0894,3
51041100933,51,041,100933,79.8,3.8079,3
51041100934,51,041,100934,77.6,1.9919,3
51041100935,51,041,100935,82.5,1.5493,3
