Tract ID,STATE2KX,CNTY2KX,TRACT2KX,Age Group,nq(x),l(x),nd(x),nL(x),T(x),e(x),se(nq(x)),se(e(x))
51021040100,51,021,040100,Under 1,0.013814,100000,1381,98757,7704167,77,0.0084,1.7733
51021040100,51,021,040100,1-4,0.001887,98619,186,394102,7605410,77.1,0.0005,1.6717
51021040100,51,021,040100,5-14,0.001826,98432,180,983426,7211308,73.3,0.0003,1.6745
51021040100,51,021,040100,15-24,0.008282,98253,814,978459,6227882,63.4,0.0059,1.6774
51021040100,51,021,040100,25-34,0.01684,97439,1641,966186,5249423,53.9,0.007,1.6544
51021040100,51,021,040100,35-44,0.013998,95798,1341,951277,4283237,44.7,0.0064,1.6447
51021040100,51,021,040100,45-54,0.039091,94457,3692,926110,3331960,35.3,0.01,1.6476
51021040100,51,021,040100,55-64,0.101839,90765,9243,861431,2405849,26.5,0.019,1.6832
51021040100,51,021,040100,65-74,0.204475,81521,16669,731869,1544418,18.9,0.0343,1.8043
51021040100,51,021,040100,75-84,0.508601,64852,32984,483603,812549,12.5,0.0879,2.1388
51021040100,51,021,040100,85 and older,1,31868,31868,328946,328946,10.3,0.0317,3.3807
51021040200,51,021,040200,Under 1,0.007833,100000,783,99295,7265297,72.7,0.008,1.5859
51021040200,51,021,040200,1-4,0.001632,99217,162,396543,7166002,72.2,0.0005,1.4854
51021040200,51,021,040200,5-14,0.001494,99055,148,989807,6769459,68.3,0.0003,1.4875
51021040200,51,021,040200,15-24,0.011682,98907,1155,983290,5779652,58.4,0.0084,1.4895
51021040200,51,021,040200,25-34,0.042159,97751,4121,956908,4796362,49.1,0.0207,1.4355
51021040200,51,021,040200,35-44,0.020105,93630,1882,926890,3839454,41,0.0093,1.1212
51021040200,51,021,040200,45-54,0.092379,91748,8476,875101,2912564,31.7,0.0233,1.09
51021040200,51,021,040200,55-64,0.124309,83272,10352,780965,2037464,24.5,0.023,0.9337
51021040200,51,021,040200,65-74,0.150058,72921,10942,674496,1256498,17.2,0.0277,0.892
51021040200,51,021,040200,75-84,0.403646,61978,25017,494698,582002,9.4,0.0713,0.9387
51021040200,51,021,040200,85 and older,1,36961,36961,87305,87305,2.4,0.2339,1.3049
